pitcher_name,pitcher_lefty,fastball_rate,sinker_rate,slider_rate,changeup_rate,knuckle_curve_rate,curveball_rate,cutter_rate,splitter_rate,other_rate
James Karinchak,False,0.5965909090909091,0.0,0.0,0.0,0.0,0.4034090909090909,0.0,0.0,0.0
James Naile,False,0.0714285714285714,0.4682539682539682,0.0,0.0793650793650793,0.0,0.2539682539682539,0.1269841269841269,0.0,0.0
James Norwood,False,0.4864864864864865,0.0108108108108108,0.0945945945945946,0.0,0.0,0.0,0.0,0.4081081081081081,0.0
Jameson Taillon,False,0.35650623885918,0.1112299465240641,0.1878787878787878,0.0844919786096256,0.0,0.1479500891265597,0.1105169340463458,0.0,0.0014260249554367
Jandel Gustave,False,0.0665236051502145,0.5686695278969958,0.3648068669527897,0.0,0.0,0.0,0.0,0.0,0.0
Janson Junk,False,0.4339622641509434,0.0,0.4528301886792453,0.0314465408805031,0.0,0.0817610062893081,0.0,0.0,0.0
Jared Koenig,True,0.1087289433384379,0.3874425727411945,0.0,0.1301684532924961,0.0,0.2205206738131699,0.1531393568147013,0.0,0.0
Jared Solomon,False,0.0,0.4840764331210191,0.5031847133757962,0.0127388535031847,0.0,0.0,0.0,0.0,0.0
Jarlin Garcia,True,0.4268891069676153,0.0,0.281648675171737,0.2875368007850834,0.0,0.0,0.0,0.0,0.0039254170755642
Jason Adam,False,0.3192389006342495,0.0,0.354122621564482,0.3202959830866808,0.0021141649048625,0.0,0.0,0.0,0.0042283298097251
Jason Alexander,False,0.0439655172413793,0.5672413793103448,0.2318965517241379,0.1568965517241379,0.0,0.0,0.0,0.0,0.0
Jason Foley,False,0.0884495317377731,0.6077003121748179,0.2351716961498439,0.068678459937565,0.0,0.0,0.0,0.0,0.0
Javier Assad,False,0.2130434782608695,0.3115942028985507,0.0971014492753623,0.0666666666666666,0.0,0.0420289855072463,0.2695652173913043,0.0,0.0
Javy Guerra,False,0.150887573964497,0.5384615384615384,0.2869822485207101,0.0,0.0,0.0,0.0,0.0,0.0236686390532544
Jeff Brigham,False,0.4248210023866348,0.0,0.5751789976133651,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Hoffman,False,0.518213866039953,0.0,0.236192714453584,0.2420681551116333,0.0,0.0,0.0,0.0,0.0035252643948296
Jeffrey Springs,True,0.4051355206847361,0.0009510223490252,0.2463147883975273,0.3475986685687113,0.0,0.0,0.0,0.0,0.0
Jeremiah Estrada,False,0.7521367521367521,0.0,0.188034188034188,0.017094017094017,0.0,0.0427350427350427,0.0,0.0,0.0
Jeremy Beasley,False,0.6125461254612546,0.0,0.2804428044280442,0.0,0.0,0.0,0.0,0.1070110701107011,0.0
Jesse Chavez,False,0.0091059602649006,0.2624172185430463,0.0,0.1283112582781456,0.0,0.0173841059602649,0.5827814569536424,0.0,0.0
Jesus Cruz,False,0.5828220858895705,0.0,0.4171779141104294,0.0,0.0,0.0,0.0,0.0,0.0
Jesus Luzardo,True,0.2718978102189781,0.201338199513382,0.0,0.225669099756691,0.0,0.3010948905109489,0.0,0.0,0.0
Jesus Tinoco,False,0.0428571428571428,0.4371428571428571,0.4,0.0085714285714285,0.0,0.1114285714285714,0.0,0.0,0.0
Jeurys Familia,False,0.2387878787878788,0.4581818181818182,0.149090909090909,0.0,0.0,0.0,0.0,0.1442424242424242,0.0096969696969696
Jharel Cotton,False,0.4490616621983914,0.0,0.1032171581769437,0.4021447721179624,0.0,0.0455764075067024,0.0,0.0,0.0
Jhoan Duran,False,0.4917715392061955,0.0,0.0300096805421103,0.0,0.0,0.3107454017424976,0.0,0.1577928363988383,0.0096805421103581
Jhonathan Diaz,True,0.2627118644067797,0.2372881355932203,0.2542372881355932,0.1610169491525423,0.0,0.0847457627118644,0.0,0.0,0.0
Jhoulys Chacin,False,0.089058524173028,0.3575063613231552,0.2798982188295165,0.0267175572519083,0.0,0.2468193384223918,0.0,0.0,0.0
Jimmy Herget,False,0.0287698412698412,0.2827380952380952,0.3363095238095238,0.0734126984126984,0.0,0.2668650793650793,0.0,0.0,0.0119047619047619
Jimmy Lambert,False,0.4449877750611247,0.0,0.3300733496332518,0.1418092909535452,0.0819070904645476,0.0,0.0,0.0,0.0012224938875305
Jimmy Yacabonis,False,0.0,0.5924657534246576,0.3732876712328767,0.0342465753424657,0.0,0.0,0.0,0.0,0.0
JoJo Romero,True,0.2177121771217712,0.2583025830258302,0.2140221402214022,0.2952029520295203,0.0,0.0,0.014760147601476,0.0,0.0
Joan Adon,False,0.6531456953642384,0.0380794701986755,0.0066225165562913,0.0678807947019867,0.0,0.2309602649006622,0.0,0.0,0.0033112582781456
Joe Barlow,False,0.2743682310469314,0.0361010830324909,0.6028880866425993,0.0,0.0,0.0866425992779783,0.0,0.0,0.0
Joe Jimenez,False,0.6371398078975453,0.0,0.3084311632870864,0.0544290288153681,0.0,0.0,0.0,0.0,0.0
Joe Kelly,False,0.0156472261735419,0.379800853485064,0.0,0.0853485064011379,0.519203413940256,0.0,0.0,0.0,0.0
Joe Mantiply,True,0.0150987224157955,0.4227642276422764,0.0,0.2601626016260163,0.0,0.3019744483159117,0.0,0.0,0.0
Joe Musgrove,False,0.2396053558844256,0.0676532769556025,0.2434813248766737,0.0630725863284002,0.0,0.1906272022551092,0.1941508104298802,0.0,0.0014094432699083
Joe Ryan,False,0.6005855290673359,0.0,0.2070263488080301,0.1212881639481388,0.0,0.0710999581764951,0.0,0.0,0.0
Joe Smith,False,0.3061674008810572,0.4140969162995594,0.2709251101321586,0.0,0.0,0.0,0.0,0.0,0.0088105726872246
Joel Kuhnel,False,0.2452025586353944,0.2931769722814499,0.2963752665245202,0.1524520255863539,0.0,0.0,0.0,0.0,0.0127931769722814
Joel Payamps,False,0.2729166666666666,0.225,0.3583333333333333,0.1354166666666666,0.0,0.0,0.0,0.0,0.0083333333333333
Joely Rodriguez,True,0.0673758865248227,0.4822695035460992,0.0591016548463357,0.3865248226950354,0.0,0.0,0.0,0.0,0.0047281323877068
Joey Krehbiel,False,0.345565749235474,0.0,0.037716615698267,0.3302752293577982,0.0,0.0,0.2823649337410805,0.0,0.0040774719673802
Joey Wentz,True,0.5553539019963702,0.0,0.0,0.1361161524500907,0.0,0.0943738656987295,0.2141560798548094,0.0,0.0
Johan Oviedo,False,0.4346938775510204,0.0,0.4030612244897959,0.0551020408163265,0.0,0.1071428571428571,0.0,0.0,0.0
John Brebbia,False,0.456935630099728,0.0009066183136899,0.5349048050770625,0.0,0.0,0.0,0.0,0.0,0.0072529465095194
John King,True,0.0,0.5151116951379764,0.1458607095926412,0.2431011826544021,0.0,0.0,0.0801576872536136,0.0,0.0157687253613666
John Means,True,0.4222222222222222,0.0,0.1259259259259259,0.3111111111111111,0.0,0.1407407407407407,0.0,0.0,0.0
John Schreiber,False,0.292156862745098,0.2558823529411764,0.3774509803921568,0.0745098039215686,0.0,0.0,0.0,0.0,0.0
Johnny Cueto,False,0.1933445661331087,0.2367312552653749,0.1647009267059814,0.2013479359730413,0.0,0.006318449873631,0.1967144060657119,0.0,0.0008424599831508
Jon Gray,False,0.5060709082078679,0.0,0.3603691112190383,0.0927634774162214,0.0,0.0407965031568722,0.0,0.0,0.0
Jonathan Heasley,False,0.4579929988331389,0.0326721120186697,0.1271878646441073,0.2088681446907818,0.0,0.1732788798133022,0.0,0.0,0.0
Jonathan Hernandez,False,0.011472275334608,0.4110898661567878,0.3537284894837476,0.2007648183556405,0.0,0.0,0.0,0.0,0.022944550669216
